,vocab
607,ὶ
608,ὸ
609,ῆ
610,ῖ
611,ῦ
612,ῶ
613,‐
614,‑
615,‒
616,–
617,—
618,―
619,‘
620,’
621,‚
622,“
623,”
624,„
625,†
626,‡
627,•
628,․
629,‥
630,…
631,‧
632,′
633,″
634,‹
635,›
636,※
637,⁊
638,ⁿ
639,₡
640,₩
641,€
642,℃
643,ℓ
644,™
645,⅓
646,⅔
647,Ⅰ
648,Ⅱ
649,Ⅲ
650,Ⅳ
651,Ⅴ
652,Ⅵ
653,Ⅶ
654,Ⅷ
655,Ⅸ
656,Ⅹ
657,←
658,↑
659,→
660,↓
661,↔
662,↕
663,↖
664,↗
665,↘
666,↙
667,↻
668,⇒
669,⇓
670,⇔
671,∀
672,−
673,∙
674,√
675,∞
676,∥
677,∼
678,≈
679,≒
680,≠
681,≤
682,≥
683,≪
684,≫
685,⊙
686,⋅
687,⋯
688,⌀
689,①
690,②
691,③
692,④
693,⑤
694,⑥
695,⑦
696,⑧
697,⑨
698,⑩
699,⑫
700,⑮
701,⑲
702,⑶
703,⑸
704,Ⓐ
705,ⓐ
706,ⓑ
707,ⓒ
708,ⓗ
709,ⓚ
710,ⓢ
711,─
712,━
713,│
714,┃
715,┏
716,┓
717,└
718,┗
719,┛
720,├
721,┠
722,┣
723,┼
724,▀
725,▄
726,█
727,░
728,▒
729,▓
730,■
731,□
732,▣
733,▨
734,▩
735,▲
736,△
737,▶
738,▷
739,▸
740,▼
741,▽
742,◀
743,◁
744,◆
745,◇
746,◈
747,◉
748,○
749,◎
750,●
751,◐
752,◑
753,◦
754,◯
755,◾
756,★
757,☆
758,☎
759,☜
760,☞
761,☠
762,☭
763,♀
764,♂
765,♠
766,♡
767,♣
768,♤
769,♥
770,♦
771,♧
772,♨
773,♪
774,♬
775,♭
776,♯
777,⚭
778,✅
779,✓
780,✦
781,✨
782,✴
783,❤
784,➡
785,⟪
786,⟫
787,⠄
788,⣿
789,⬅
790,⭐
791,、
792,。
793,〃
794,々
795,〇
796,〈
797,〉
798,《
799,》
800,「
801,」
802,『
803,』
804,【
805,】
806,〓
807,〔
808,〕
809,〜
810,ぁ
811,あ
812,ぃ
813,い
814,ぅ
815,う
816,ぇ
817,え
818,ぉ
819,お
820,か
821,が
822,き
823,ぎ
824,く
825,ぐ
826,け
827,げ
828,こ
829,ご
830,さ
831,ざ
832,し
833,じ
834,す
835,ず
836,せ
837,ぜ
838,そ
839,ぞ
840,た
841,だ
842,ち
843,ぢ
844,っ
845,つ
846,づ
847,て
848,で
849,と
850,ど
851,な
852,に
853,ぬ
854,ね
855,の
856,は
857,ば
858,ぱ
859,ひ
860,び
861,ぴ
862,ふ
863,ぶ
864,ぷ
865,へ
866,べ
867,ぺ
868,ほ
869,ぼ
870,ぽ
871,ま
872,み
873,む
874,め
875,も
876,ゃ
877,や
878,ゅ
879,ゆ
880,ょ
881,よ
882,ら
883,り
884,る
885,れ
886,ろ
887,わ
888,ゐ
889,を
890,ん
891,ァ
892,ア
893,ィ
894,イ
895,ゥ
896,ウ
897,ェ
898,エ
899,ォ
900,オ
901,カ
902,ガ
903,キ
904,ギ
905,ク
906,グ
907,ケ
908,ゲ
909,コ
910,ゴ
911,サ
912,ザ
913,シ
914,ジ
915,ス
916,ズ
917,セ
918,ゼ
919,ソ
920,ゾ
921,タ
922,ダ
923,チ
924,ッ
925,ツ
926,ヅ
927,テ
928,デ
929,ト
930,ド
931,ナ
932,ニ
933,ヌ
934,ネ
935,ノ
936,ハ
937,バ
938,パ
939,ヒ
940,ビ
941,ピ
942,フ
943,ブ
944,プ
945,ヘ
946,ベ
947,ペ
948,ホ
949,ボ
950,ポ
951,マ
952,ミ
953,ム
954,メ
955,モ
956,ャ
957,ヤ
958,ュ
959,ユ
960,ョ
